2026-05-11 08:57:53 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\grouping.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:45:15 INFO  TC004_Checkout_Validation:15 - Starting TC004_Checkout_Validation
2026-05-11 10:55:12 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\master.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 10:55:12 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\master.xml

2026-05-11 10:55:19 INFO  TC004_Checkout_Validation:16 - Starting TC004_Checkout_Validation
2026-05-11 11:12:46 WARN  TestNGContentHandler:133 - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Automation\seleniumWebDriver\Opencart\master.xml] otherwise TestNG may fail or not work as expected.
2026-05-11 11:12:46 INFO  Utils:112 - [TestNG] Running:
  C:\Automation\seleniumWebDriver\Opencart\master.xml

2026-05-11 11:12:51 INFO  TC004_Checkout_Validation:15 - Starting TC004_Checkout_Validation
2026-05-11 11:12:52 INFO  TC004_Checkout_Validation:23 - Adding Macbook in Cart
2026-05-11 11:12:52 INFO  TC004_Checkout_Validation:28 - Adding Iphone in Cart
2026-05-11 11:12:52 INFO  TC004_Checkout_Validation:31 - Clicking CheckOut Button
2026-05-11 11:12:53 INFO  TC004_Checkout_Validation:52 - Finished TC004_Checkout_Validation
